Catalog,RA,DEC,Type,Name,Magn.,,,,,
PGC,12h58m52.67s,+26°46'10.4",Gx,UGC08080,m:15.25,PGC:44394,Dim: 1.2 x 0.5 ',pa: 57,rv: 7403,
PGC,12h58m55.68s,+28°09'09.5",Gx,NGC4848,m:14.35,PGC:44405,Dim: 1.3 x 0.4 ',pa:156,rv: 7174,
PGC,12h58m59.40s,+28°37'07.8",Gx,MCG+05-31-041,m:15.48,PGC:44416,Dim: 1.1 x 0.3 ',pa: 85,rv: 7610,
PGC,12h59m02.99s,+26°18'24.4",Gx,NGC4849,m:14.27,PGC:44424,Dim: 1.4 x 1.0 ',pa:177,rv: 5910,
PGC,12h59m26.39s,+28°01'26.5",Gx,IC3943,m:15.41,PGC:44485,Dim: 0.9 x 0.3 ',pa: 59,rv: 6838,
PGC,12h59m26.54s,+27°00'51.1",Gx,MCG+05-31-047,m:15.33,PGC:44487,Dim: 0.9 x 0.6 ',pa:138,rv: 7994,
PGC,12h59m37.56s,+27°35'05.5",Gx,NGC4854,m:14.94,PGC:44502,Dim: 1.0 x 0.7 ',pa: 44,rv: 8374,
PGC,12h59m45.94s,+27°44'36.5",Gx,IC3949,m:15.09,PGC:44524,Dim: 1.0 x 0.2 ',pa: 71,rv: 7571,
PGC,12h59m51.80s,+28°08'08.3",Gx,PGC044537,m:15.19,PGC:44537,Dim: 1.0 x 0.5 ',pa:116,rv: 8015,
PGC,12h59m52.05s,+26°43'33.1",Gx,NGC4859,m:14.61,PGC:44534,Dim: 1.5 x 0.7 ',pa: 93,rv: 7168,
PGC,12h59m53.95s,+28°02'02.2",Gx,NGC4860,m:14.49,PGC:44539,Dim: 1.1 x 0.9 ',pa:121,rv: 7980,
PGC,13h00m25.71s,+27°52'10.6",Gx,NGC4874,m:12.78,PGC:44628,Dim: 2.3 x 2.0 ',pa: 49,rv: 7168,
PGC,13h00m29.72s,+28°50'13.4",Gx,IC3991,m:15.43,PGC:44632,Dim: 0.9 x 0.4 ',pa: 66,rv: 6008,
PGC,13h00m47.80s,+28°09'24.4",Gx,NGC4881,m:14.50,PGC:44686,Dim: 1.0 x 0.9 ',pa: 90,rv: 6753,
PGC,13h00m53.69s,+26°48'29.9",Gx,NGC4892,m:14.53,PGC:44697,Dim: 1.4 x 0.3 ',pa: 13,rv: 5905,
PGC,13h00m58.07s,+27°53'14.6",Gx,NGC4884,m:12.49,PGC:44715,Dim: 2.6 x 1.7 ',pa: 80,rv: 6446,
PGC,13h01m03.88s,+28°44'18.3",Gx,MCG+05-31-079,m:15.52,PGC:44722,Dim: 1.0 x 0.5 ',pa: 3,rv: 7387,
PGC,13h01m07.87s,+28°06'46.6",Gx,NGC4895,m:14.22,PGC:44737,Dim: 1.7 x 0.6 ',pa:151,rv: 8456,
PGC,13h01m25.51s,+28°03'23.7",Gx,PGC044784,m:15.72,PGC:44784,Dim: 1.0 x 0.2 ',pa:168,rv: 5461,
PGC,13h01m29.47s,+28°55'47.3",Gx,IC0842,m:14.73,PGC:44795,Dim: 1.1 x 0.6 ',pa: 55,rv: 7276,
PGC,13h01m38.77s,+28°04'07.8",Gx,NGC4907,m:14.52,PGC:44819,Dim: 1.0 x 0.9 ',pa: 32,rv: 5881,
PGC,13h01m39.95s,+27°18'58.0",Gx,UGC08122,m:15.31,PGC:44822,Dim: 1.0 x 0.6 ',pa:159,rv: 6618,
PGC,13h01m41.54s,+27°57'11.8",Gx,NGC4908,m:14.64,PGC:44828,Dim: 1.0 x 0.6 ',pa: 51,rv: 8743,
PGC,13h01m44.46s,+27°55'04.5",Gx,IC4051,m:14.22,PGC:44832,Dim: 1.2 x 0.8 ',pa: 97,rv: 4984,
PGC,13h01m46.06s,+27°42'04.3",Gx,NGC4911,m:13.66,PGC:44840,Dim: 1.2 x 1.0 ',pa:130,rv: 8005,
PGC,13h02m07.63s,+27°43'10.0",Gx,NGC4919,m:15.06,PGC:44885,Dim: 1.1 x 0.6 ',pa:142,rv: 7300,
PGC,13h02m14.33s,+29°13'13.2",Gx,NGC4922,m:13.82,PGC:44896,Dim: 1.2 x 1.2 ',pa: 90,rv: 7112,
PGC,13h02m16.03s,+27°47'47.4",Gx,NGC4921,m:13.49,PGC:44899,Dim: 2.0 x 1.8 ',pa: 90,rv: 5471,
PGC,13h02m23.45s,+29°02'27.7",Gx,IC0843,m:14.94,PGC:44908,Dim: 1.1 x 0.5 ',pa:135,rv: 7383,
PGC,13h02m33.16s,+28°57'18.5",Gx,IC4088,m:14.72,PGC:44921,Dim: 1.5 x 0.4 ',pa: 88,rv: 7104,
PGC,13h02m36.93s,+28°00'20.0",Gx,PGC044928,m:15.12,PGC:44928,Dim: 1.1 x 0.3 ',pa: 86,rv: 5821,
PGC,13h02m43.75s,+27°32'05.8",Gx,NGC4926,m:14.03,PGC:44938,Dim: 1.2 x 1.0 ',pa: 64,rv: 7890,
PGC,13h02m47.59s,+27°54'58.4",Gx,NGC4927,m:14.79,PGC:44945,Dim: 1.0 x 0.6 ',pa: 11,rv: 7741,
PGC,13h02m53.95s,+29°09'50.8",Gx,MCG+05-31-106,m:15.42,PGC:44973,Dim: 1.0 x 0.2 ',pa:157,rv: 7322,
PGC,13h03m30.66s,+28°16'54.7",Gx,MCG+05-31-110,m:15.53,PGC:45023,Dim: 0.9 x 0.2 ',pa:124,rv: 7420,
PGC,13h03m50.72s,+27°56'35.4",Gx,NGC4931,m:14.47,PGC:45055,Dim: 1.7 x 0.6 ',pa: 78,rv: 5418,
PGC,13h04m06.10s,+27°56'27.9",Gx,NGC4934,m:15.17,PGC:45082,Dim: 1.0 x 0.2 ',pa:104,rv: 6067,
PGC,13h04m19.17s,+26°27'39.2",Gx,UGC08161,m:15.18,PGC:45097,Dim: 1.2 x 0.4 ',pa:139,rv: 6644,
PGC,13h04m39.77s,+28°05'48.0",Gx,NGC4944,m:13.80,PGC:45133,Dim: 1.4 x 0.4 ',pa: 87,rv: 6988,
PGC,13h05m48.03s,+29°01'59.9",Gx,NGC4952,m:13.77,PGC:45233,Dim: 1.6 x 1.0 ',pa: 22,rv: 5963,
PGC,13h06m02.23s,+27°28'50.5",Gx,NGC4957,m:14.00,PGC:45253,Dim: 1.2 x 0.9 ',pa: 99,rv: 6911,
PGC,13h06m37.40s,+27°38'41.6",Gx,NGC4961,m:13.96,PGC:45311,Dim: 1.1 x 0.9 ',pa:107,rv: 2532,
PGC,13h07m06.88s,+28°58'27.2",Gx,NGC4966,m:14.02,PGC:45358,Dim: 1.0 x 0.5 ',pa:143,rv: 7033,
PGC,13h07m11.61s,+29°34'07.1",Gx,UGC08195,m:16.25,PGC:45366,Dim: 1.2 x 0.2 ',pa: 88,rv: 7042,
PGC,13h09m16.88s,+28°13'54.8",Gx,NGC4983,m:14.90,PGC:45542,Dim: 1.0 x 0.6 ',pa:121,rv: 6522,
PGC,13h09m43.78s,+28°05'43.3",Gx,UGC08229,m:14.32,PGC:45580,Dim: 1.2 x 0.7 ',pa: 58,rv: 5986,
PGC,13h10m36.93s,+28°49'06.5",Gx,NGC5000,m:13.98,PGC:45658,Dim: 1.3 x 1.0 ',pa: 49,rv: 5596,
PGC,13h10m41.69s,+28°17'38.6",Gx,UGC08244,m:16.13,PGC:45668,Dim: 1.0 x 0.4 ',pa: 74,rv: 7095,
PGC,13h10m48.82s,+29°57'05.3",Gx,MCG+05-31-145,m:15.79,PGC:45654,Dim: 0.9 x 0.3 ',pa:153,rv: 10453,
PGC,13h11m50.86s,+29°32'54.3",Gx,NGC5004,m:14.16,PGC:45756,Dim: 1.3 x 1.0 ',pa:166,rv: 7059,
PGC,13h11m50.99s,+29°29'24.2",Gx,NGC5004A,m:15.16,PGC:45757,Dim: 1.3 x 0.6 ',pa:172,rv: 7279,
PGC,13h14m15.16s,+27°40'31.9",Gx,MCG+05-31-159,m:15.46,PGC:45940,Dim: 0.9 x 0.4 ',pa: 96,rv: 6164,
PGC,13h14m16.41s,+27°42'51.5",Gx,NGC5032,m:13.70,PGC:45947,Dim: 2.0 x 1.1 ',pa: 21,rv: 6397,
PGC,13h15m42.99s,+26°55'12.8",Gx,UGC08325,m:15.69,PGC:46076,Dim: 0.9 x 0.3 ',pa:142,rv: 4628,
PGC,13h16m23.93s,+29°35'18.3",Gx,NGC5052,m:14.38,PGC:46131,Dim: 1.4 x 1.0 ',pa:151,rv: 6621,
